Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,AvgOrderValue,FirstPurchase,CustomerLifetime,ValuePerDay,AvgTransactionValue,PurchaseFrequency,UniqueProducts
12346.0,326,12,77556.46,2,5,5,12,2281.0723529411766,1260779640000000000,726,106.82707988980717,6463.038333333334,0.49586776859504134,27
12347.0,2,8,5633.32,5,4,5,14,22.26608695652174,1288534800000000000,404,13.943861386138613,704.165,0.594059405940594,126
12348.0,75,5,2019.4,3,4,4,11,39.596078431372554,1285599540000000000,438,4.610502283105023,403.88,0.3424657534246575,25
12349.0,19,4,4428.69,5,3,5,13,25.3068,1272547200000000000,589,7.51899830220713,1107.1725,0.2037351443123939,138
12350.0,310,1,334.4,2,1,2,5,19.670588235294115,1296662460000000000,310,1.0787096774193548,334.4,0.0967741935483871,17
12351.0,375,1,300.93,2,1,2,5,14.33,1291044180000000000,375,0.80248,300.93,0.08,21
12352.0,36,10,2849.84,4,5,4,13,27.668349514563108,1289557200000000000,393,7.2515012722646315,284.98400000000004,0.7633587786259542,70
12353.0,204,2,406.76,2,2,2,6,16.948333333333334,1288183440000000000,409,0.994523227383863,203.38,0.1466992665036675,23
12354.0,232,1,1079.4,2,1,3,6,18.610344827586207,1303391460000000000,232,4.652586206896552,1079.4,0.12931034482758622,58
12355.0,214,2,947.61,2,2,3,7,27.074571428571428,1274443140000000000,568,1.6683274647887325,473.805,0.1056338028169014,35
12356.0,23,6,6373.68,4,4,5,13,44.57118881118881,1286790120000000000,425,14.99689411764706,1062.28,0.4235294117647059,104
12357.0,33,3,18287.66,4,3,5,12,61.78263513513514,1289901900000000000,389,47.0119794344473,6095.886666666666,0.23136246786632392,261
12358.0,2,5,3887.07,5,4,5,14,50.48142857142857,1260259140000000000,732,5.310204918032787,777.414,0.20491803278688525,56
12359.0,58,10,8935.94,4,5,5,14,24.482027397260275,1260019920000000000,734,12.174305177111718,893.594,0.40871934604904636,305
12360.0,52,8,4252.89,4,4,5,13,19.59857142857143,1266831120000000000,656,6.483064024390244,531.61125,0.36585365853658536,160
12361.0,287,4,511.25,2,3,2,7,17.629310344827587,1264516620000000000,682,0.749633431085044,127.8125,0.1759530791788856,18
12362.0,3,11,5356.23,5,5,5,15,20.06078651685393,1259662200000000000,739,7.247943166441136,486.92999999999995,0.4465493910690122,201
12363.0,110,2,552.0,3,2,2,7,24.0,1302528540000000000,242,2.28099173553719,276.0,0.24793388429752067,23
12364.0,8,4,1313.1,5,3,4,12,15.448235294117646,1313767440000000000,112,11.724107142857141,328.275,1.0714285714285714,70
12365.0,291,2,641.38,2,2,3,7,29.153636363636362,1298296260000000000,291,2.2040549828178695,320.69,0.2061855670103093,22
12366.0,634,1,500.24,1,1,2,4,166.74666666666667,1268735280000000000,634,0.7890220820189274,500.24,0.04731861198738171,3
12367.0,4,1,168.9,5,1,1,7,15.354545454545455,1323103680000000000,4,42.225,168.9,7.5,11
12368.0,628,1,917.6999999999999,1,1,3,5,50.98333333333333,1269186960000000000,628,1.4613057324840764,917.6999999999999,0.04777070063694267,18
12369.0,413,3,1791.15,1,3,4,8,19.25967741935484,1268035740000000000,642,2.7899532710280375,597.0500000000001,0.14018691588785048,90
12370.0,51,7,4320.31,4,4,5,13,21.387673267326736,1265708460000000000,669,6.457862481315397,617.1871428571429,0.3139013452914798,168
12371.0,45,5,4067.38,4,4,5,13,24.35556886227545,1267726980000000000,645,6.306015503875969,813.476,0.23255813953488372,134
12372.0,72,3,1298.04,3,3,4,10,24.962307692307693,1297860360000000000,297,4.3705050505050504,432.68,0.30303030303030304,34
12373.0,311,3,1127.65,2,3,3,8,22.110784313725492,1265285280000000000,674,1.6730712166172108,375.8833333333334,0.13353115727002968,36
12374.0,25,4,2989.2200000000003,4,3,5,12,36.01469879518073,1272636060000000000,588,5.083707482993198,747.3050000000001,0.2040816326530612,79
12375.0,11,2,457.5,5,2,2,9,26.91176470588235,1314973380000000000,98,4.668367346938775,228.75,0.6122448979591837,14
12376.0,390,2,503.15,2,2,2,6,38.70384615384615,1287391320000000000,418,1.2037081339712918,251.575,0.14354066985645933,11
12377.0,315,4,3426.32,2,3,5,10,22.54157894736842,1272555240000000000,589,5.817181663837012,856.58,0.2037351443123939,129
12378.0,130,2,5416.32,3,2,5,10,17.994418604651162,1274882820000000000,562,9.637580071174376,2708.16,0.10676156583629892,281
12379.0,82,4,1620.22,3,3,4,10,20.002716049382716,1277297340000000000,535,3.0284485981308413,405.055,0.22429906542056077,58
